Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-200000,0,0,0,0,0,0,-200000
2,55835,42000,0,13835,0,0,13835,13176,-186823
3,55835,42000,0,13835,0,0,13835,13176,-173647
4,55835,42000,0,13835,0,0,13835,13176,-160471
5,55835,42000,0,13835,0,0,13835,13176,-147295
6,55835,42000,0,13835,0,0,13835,13176,-134119
7,55835,42000,0,13835,0,0,13835,13176,-120942
8,55835,42000,0,13835,0,0,13835,13176,-107766
9,55835,46800,0,9035,0,0,9035,8604,-99161
10,55835,46800,0,9035,0,0,9035,8604,-90557
11,55835,46800,0,9035,0,0,9035,8604,-81952
12,55835,46800,0,9035,0,0,9035,8604,-73347
13,55835,46800,0,9035,0,0,9035,8604,-64742
14,55835,46800,0,9035,0,0,9035,8604,-56138
15,55835,46800,0,9035,0,0,9035,8604,-47533
16,55835,46800,0,9035,0,0,9035,8604,-38928
17,55835,46800,0,9035,0,0,9035,8604,-30323
18,55835,46800,0,9035,0,0,9035,8604,-21719
19,55835,46800,0,9035,0,0,9035,8604,-13114
20,55835,46800,0,3770,263,1105,7666,7301,-5813
21,55835,46800,0,0,451,1897,6685,6367,554
