Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-200000,0,0,0,0,0,0,-200000
<<<<<<< HEAD
2,52615,42001,0,10614,0,0,10614,10108,-189891
3,52615,42001,0,10614,0,0,10614,10108,-179782
4,52615,42001,0,10614,0,0,10614,10108,-169674
5,52615,42001,0,10614,0,0,10614,10108,-159565
6,52615,42001,0,10614,0,0,10614,10108,-149457
7,52615,42001,0,10614,0,0,10614,10108,-139348
8,52615,42001,0,10614,0,0,10614,10108,-129240
9,52615,42001,0,10614,0,0,10614,10108,-119131
10,52615,42001,0,10614,0,0,10614,10108,-109022
11,52615,42001,0,10614,0,0,10614,10108,-98914
12,52615,42001,0,10614,0,0,10614,10108,-88805
13,52615,42001,0,10614,0,0,10614,10108,-78697
14,52615,42001,0,10614,0,0,10614,10108,-68588
15,52615,42001,0,10614,0,0,10614,10108,-58480
16,52615,42001,0,10614,0,0,10614,10108,-48371
17,52615,42001,0,10614,0,0,10614,10108,-38262
18,52615,42001,0,10614,0,0,10614,10108,-28154
19,52615,42001,0,10614,0,0,10614,10108,-18045
20,52615,42001,0,8948,83,349,10180,9696,-8349
21,52615,42001,0,0,530,2228,7854,7480,-869
=======
2,52615,42000,0,10615,0,0,10615,10109,-189890
3,52615,42000,0,10615,0,0,10615,10109,-179780
4,52615,42000,0,10615,0,0,10615,10109,-169671
5,52615,42000,0,10615,0,0,10615,10109,-159561
6,52615,42000,0,10615,0,0,10615,10109,-149452
7,52615,42000,0,10615,0,0,10615,10109,-139342
8,52615,42000,0,10615,0,0,10615,10109,-129233
9,52615,42000,0,10615,0,0,10615,10109,-119123
10,52615,42000,0,10615,0,0,10615,10109,-109014
11,52615,42000,0,10615,0,0,10615,10109,-98904
12,52615,42000,0,10615,0,0,10615,10109,-88795
13,52615,42000,0,10615,0,0,10615,10109,-78685
14,52615,42000,0,10615,0,0,10615,10109,-68576
15,52615,42000,0,10615,0,0,10615,10109,-58466
16,52615,42000,0,10615,0,0,10615,10109,-48357
17,52615,42000,0,10615,0,0,10615,10109,-38247
18,52615,42000,0,10615,0,0,10615,10109,-28138
19,52615,42000,0,10615,0,0,10615,10109,-18028
20,52615,42000,0,8930,84,353,10176,9692,-8336
21,52615,42000,0,0,530,2229,7855,7481,-855
>>>>>>> 62283430 (fixed rendering of table, dynamic and png)
